policyholder_id,full_name,date_of_birth,age,gender,state,phone,email,license_years,prior_claims_count,credit_score,marital_status
PH00001,Kevin Miller,1991-03-30,33,Male,WI,9782452545,yuki205@hotmail.com,25,1,784,Unknown
PH00002,Kevin Miller,1988-07-20,36,Female,AZ,5462391930,john372@gmail.com,31,0,676,Unknown
PH00003,Maria Anderson,1996-07-05,28,Male,PA,9658410741,yuki701@hotmail.com,33,2,539,Single
PH00004,Michael Moore,1962-09-19,62,Male,IL,7357800313,priya964@hotmail.com,4,0,725,Unknown
PH00005,NINA JACKSON,1968-06-30,56,Male,TN,,lisa867@outlook.com,10,4,625,Married
PH00006,ZOE WILLIAMS,1971-09-07,53,Unknown,AZ,,priya548@gmail.com,26,0,790,Unknown
PH00007,Elena Thomas,1988-06-18,36,Female,WA,8696211949,anna449@gmail.com,21,3,706,Single
PH00008,David Martin,1977-12-26,47,Female,MI,6889946351,kevin695@hotmail.com,17,1,674,Married
PH00009,Priya Smith,1972-09-24,52,Female,AZ,8803879957,priya673@hotmail.com,27,0,680,Unknown
PH00010,Carlos Moore,1955-02-12,69,Male,MO,7238451043,carlos642@outlook.com,17,2,701,Unknown
PH00011,Anna Williams,1964-06-07,60,Male,WA,5067194592,emma272@hotmail.com,13,0,565,Unknown
PH00012,Mark Thomas,1995-01-23,29,Male,PA,5685197117,yuki587@hotmail.com,18,2,639,Unknown
PH00014,Maria Johnson,1990-08-22,34,Male,PA,3628366557,robert283@outlook.com,27,0,680,Unknown
PH00015,Mark Anderson,1970-07-30,54,Unknown,PA,9612905301,priya892@yahoo.com,9,0,670,Unknown
PH00016,Sam Johnson,1985-07-06,39,Male,GA,3926158412,kevin939@gmail.com,8,0,561,Unknown
PH00017,ELENA CLARK,1994-10-27,30,Male,CA,3708447860,anna972@yahoo.com,17,0,580,Unknown
PH00018,Aisha Moore,1980-08-16,44,Unknown,WA,2416934806,robert625@yahoo.com,21,3,695,Unknown
PH00019,Elena Thomas,1980-11-27,44,Female,MD,,sarah446@gmail.com,4,1,682,Unknown
PH00020,MICHAEL GARCIA,1973-02-15,51,Male,MA,3878224753,david170@yahoo.com,1,1,633,Unknown
PH00021,Nina Williams,1997-11-24,27,Female,IL,6964496347,yuki756@yahoo.com,28,2,639,Single
PH00022,Raj Martin,1970-01-21,54,Male,IN,2794938283,aisha75@yahoo.com,34,4,735,Married
PH00023,JOHN BROWN,1999-06-21,25,Unknown,NC,6472042761,zoe262@gmail.com,13,0,708,Single
PH00024,Elena Anderson,1972-08-09,52,Male,VA,9136118052,lisa145@gmail.com,13,0,546,Single
PH00025,Priya Taylor,1956-08-14,68,Male,TX,9982242539,raj1@hotmail.com,2,0,660,Single
PH00026,Mark Anderson,1962-04-07,62,Male,TX,9865409445,maria225@outlook.com,23,1,775,Unknown
PH00027,Anna Clark,1979-04-24,45,Female,MI,7341282821,yuki783@hotmail.com,5,2,667,Married
PH00028,Lisa Clark,2000-09-21,24,Unknown,NJ,4937683643,nina88@gmail.com,5,1,680,Unknown
PH00029,Fatima Miller,1966-08-21,58,Female,CA,7921297198,fatima851@outlook.com,8,4,619,Unknown
PH00030,Emma Jackson,1980-09-25,44,Male,NC,5952615442,elena127@gmail.com,18,1,584,Unknown
PH00031,Yuki Thomas,1977-07-02,47,Female,MA,4229415619,anna153@yahoo.com,29,0,724,Unknown
PH00032,Lisa Clark,2000-01-30,24,Female,MD,7698298477,david11@hotmail.com,1,0,766,Married
PH00033,David Smith,1964-07-26,60,Female,MO,5054215637,zoe657@yahoo.com,10,3,602,Unknown
PH00034,James Miller,1984-01-13,40,Unknown,NY,,mark333@yahoo.com,35,0,657,Single
PH00035,Emma Clark,1997-09-21,27,Male,AZ,7466146622,maria70@outlook.com,2,2,670,Single
PH00036,Emma Thompson,1987-07-24,37,Unknown,PA,9445959091,raj95@hotmail.com,22,1,671,Single
PH00037,Tom Thomas,1988-06-06,36,Female,MD,3372058890,lisa608@gmail.com,7,1,584,Single
PH00038,Fatima Jones,1979-10-10,45,Male,NC,4941454179,anna445@hotmail.com,10,1,745,Married
PH00039,YUKI DAVIS,1957-08-20,67,Male,MO,4479513905,michael989@outlook.com,9,0,724,Unknown
PH00040,James Miller,,64,Female,NY,,nina226@yahoo.com,32,0,568,Single
PH00041,Michael Thompson,1971-07-20,53,Unknown,VA,9881547293,sam511@yahoo.com,4,2,729,Married
PH00042,Mark Johnson,1968-06-04,56,Female,WA,,mark423@outlook.com,17,0,597,Single
PH00043,James Thompson,1998-01-04,26,Male,NJ,4373900704,kevin368@hotmail.com,11,0,789,Single
PH00044,Emma Smith,1988-08-07,36,Male,IN,9539075546,kevin569@yahoo.com,12,0,641,Married
PH00045,Carlos Brown,1974-01-07,50,Female,GA,9918105601,raj778@yahoo.com,22,1,631,Single
PH00046,Lisa Jackson,1969-01-21,55,Unknown,MA,3881998839,chris518@gmail.com,6,0,741,Single
PH00047,Chris Wilson,1993-12-26,31,Male,IN,6927281074,yuki612@outlook.com,31,2,782,Married
PH00048,Yuki Johnson,1963-10-21,61,Female,NY,3973035155,elena201@yahoo.com,-4,2,545,Unknown
PH00049,Aisha Smith,1993-07-18,31,Female,OH,3374702695,maria198@yahoo.com,2,4,694,Unknown
PH00050,Carlos Smith,1974-02-21,50,Female,PA,5756817836,tom978@gmail.com,16,0,589,Unknown
PH00051,Anna Anderson,1990-11-18,34,Female,NJ,,sarah957@gmail.com,-1,1,657,Married
PH00052,Emma Anderson,1955-04-26,69,Male,MO,,david90@hotmail.com,11,2,680,Unknown
PH00053,Sarah Anderson,1973-02-20,51,Female,NJ,4511901126,chris196@hotmail.com,17,0,529,Unknown
PH00054,Mark Robinson,1970-03-16,54,Unknown,VA,3581552665,tom266@yahoo.com,23,0,621,Unknown
PH00055,LISA WILSON,1960-08-06,64,Female,WI,2853952267,sam239@yahoo.com,13,1,731,Married
PH00056,Fatima Miller,1980-03-10,44,Male,FL,7311627822,aisha721@gmail.com,22,3,792,Unknown
PH00057,Fatima Smith,1979-05-29,45,Female,VA,2893069188,sam384@yahoo.com,5,0,715,Unknown
PH00058,Emma Harris,1993-06-06,31,Unknown,NY,5623920556,carlos565@outlook.com,20,1,649,Unknown
