policyholder_id,full_name,date_of_birth,age,gender,state,phone,email,license_years,prior_claims_count,credit_score,marital_status
PH00001,Kevin Miller,1991-03-30,33,M,WI,9782452545,yuki205@hotmail.com,25,1,784.0,Widowed
PH00002,Kevin Miller,1988-07-20,36,f,AZ,+1-546-239-1930,john372@gmail.com,31,0,676.0,Widowed
PH00003,Maria Anderson,1996-07-05,28,M,PA,(965) 841-0741,yuki701@hotmail.com,33,2,539.0,S
PH00004,Michael Moore,19 Sep 1962,62,M,IL,(735) 780-0313,priya964@hotmail.com,4,0,725.0,Divorced
PH00005,NINA JACKSON,06-30-1968,56,male,TN,,lisa867@outlook.com,10,4,625.0,married
PH00006,ZOE WILLIAMS,07 Sep 1971,53,Male,AZ,,priya548@gmail.com,26,0,790.0,Single
PH00007,Elena Thomas,18/06/1988,36,F,WA,+1-869-621-1949,anna449@gmail.com,21,3,706.0,S
PH00008,David Martin,26/12/1977,47,female,MI,(688) 994-6351,kevin695@hotmail.com,17,1,674.0,married
PH00009,Priya Smith,24/09/1972,52,F,AZ,8803879957,priya673@hotmail.com,27,0,,Widowed
PH00010,Carlos Moore,12 Feb 1955,69,M,MO,(723) 845-1043,carlos642@outlook.com,17,2,701.0,Single
PH00011,Anna Williams,07 Jun 1964,60,MALE,WA,5067194592,emma272@hotmail.com,13,0,565.0,Divorced
PH00012,Mark Thomas,23 Jan 1995,29,M,PA,(568) 519-7117,yuki587@hotmail.com,18,2,639.0,Married
PH00013,,1976-06-29,48,female,MD,7052210378,chris424@outlook.com,1,1,727.0,Single
PH00014,Maria Johnson,22 Aug 1990,34,male,PA,+1-362-836-6557,robert283@outlook.com,27,0,,Widowed
PH00015,Mark Anderson,30 Jul 1970,54,Female,PA,(961) 290-5301,priya892@yahoo.com,9,0,670.0,Divorced
PH00016,Sam Johnson,1985-07-06,39,MALE,GA,(392) 615-8412,kevin939@gmail.com,8,0,561.0,Widowed
PH00017,ELENA CLARK,27 Oct 1994,30,M,CA,3708447860,anna972@yahoo.com,17,0,580.0,Single
PH00018,Aisha Moore,1980-08-16,44,Female,WA,(241) 693-4806,robert625@yahoo.com,21,3,695.0,Single
PH00019,Elena Thomas,27/11/1980,44,F,MD,,sarah446@gmail.com,4,1,682.0,Single
PH00020,MICHAEL GARCIA,15 Feb 1973,51,male,MA,(387) 822-4753,david170@yahoo.com,1,1,633.0,Divorced
PH00021,Nina Williams,24/11/1997,27,f,IL,+1-696-449-6347,yuki756@yahoo.com,28,2,639.0,single
PH00022,Raj Martin,21 Jan 1970,54,m,IN,(279) 493-8283,aisha75@yahoo.com,34,4,735.0,married
PH00023,JOHN BROWN,21/06/1999,25,Male,NC,6472042761,zoe262@gmail.com,13,0,708.0,single
PH00024,Elena Anderson,1972-08-09,52,M,VA,9136118052,lisa145@gmail.com,13,0,546.0,S
PH00025,Priya Taylor,08-14-1956,68,M,TX,+1-998-224-2539,raj1@hotmail.com,2,0,660.0,S
PH00026,Mark Anderson,07/04/1962,62,MALE,TX,9865409445,maria225@outlook.com,23,1,775.0,Married
PH00027,Anna Clark,1979-04-24,45,FEMALE,MI,7341282821,yuki783@hotmail.com,5,2,667.0,married
PH00028,Lisa Clark,21 Sep 2000,24,Female,NJ,(493) 768-3643,nina88@gmail.com,5,1,,Married
PH00029,Fatima Miller,1966-08-21,58,f,CA,+1-792-129-7198,fatima851@outlook.com,8,4,619.0,Divorced
